1,1
2,1
3,1
4,1
5,1
7,1
8,1
13,1
114932,2
271938,4
271422,4
271411,4
271572,4
271145,4
271242,4
270721,4
272078,4
115203,2
272795,4
272515,4
272503,4
272646,4
839,1
5261,1
5450,1
5876,1
63792,2
273583,4
273439,4
273160,4
273154,4
273158,4
273218,4
10433,1
273814,4
273979,4
78756,2
6655,1
7659,1
195063,2
7844,1
274075,4
8192,1
8194,1
182892,2
262748,3
198628,2
198649,2
28417,2
262148,2
262149,2
262150,2
262151,2
263791,3
263787,3
263786,3
263800,3
263194,3
263084,3
264963,3
132101,2
239216,2
264215,3
264056,3
239117,2
264197,3
265155,3
265227,3
265530,3
96384,2
96790,2
266509,3
266507,3
266240,3
266242,3
266255,3
266248,3
266244,3
266245,3
266246,3
266247,3
266252,3
266253,3
266254,3
266043,3
252581,2
266806,4
266942,4
266676,4
266738,4
252131,2
268164,4
267666,4
267493,4
59538,2
269566,4
269047,4
269000,4
71417,2
269917,4
269998,4
269764,4
269761,4
164166,2
87303,2
20037,2
125993,2
60752,2
60780,2
270550,4
112800,2
75826,2
