1,252131,1,0.053917940264694625
1,28417,1,0.04906687670516653
1,96384,1,0.048871646246808606
1,112800,1,0.04748733811576701
1,252581,1,0.0413384708890629
1,198628,1,0.06368416094963592
1,125993,1,0.042977616494735554
1,182892,1,0.06500428447279542
1,239117,1,0.04366636012704889
8192,5876,2,0.3333333333333333
8192,5450,2,0.3333333333333333
8192,5261,2,0.3333333333333333
8194,10433,2,0.25
8194,5876,2,0.25
8194,839,2,0.25
8194,7659,2,0.25
2,7844,2,1.0
4,6655,2,1.0
262148,60752,3,0.3333333333333333
262148,59538,3,0.3333333333333333
262148,60780,3,0.3333333333333333
262150,63792,3,0.1
262150,115203,3,0.1
262150,75826,3,0.1
262150,239216,3,0.1
262150,20037,3,0.1
262150,87303,3,0.1
1,252131,4,0.2
1,78756,4,0.2
1,96790,4,0.2
1,132101,4,0.2
1,71417,4,0.2
2,164166,4,0.2
2,114932,4,0.2
2,195063,4,0.2
2,198649,4,0.2
8192,264963,5,1.0
1,266509,5,1.0
8194,262748,5,1.0
3,263791,5,1.0
5,265155,5,1.0
7,263800,5,1.0
8,264215,5,0.5
8,266043,5,0.5
13,265227,5,1.0
262149,269047,6,0.3333333333333333
262149,267666,6,0.3333333333333333
262149,274075,6,0.3333333333333333
262150,269761,6,0.3333333333333333
262150,269917,6,0.3333333333333333
262150,273160,6,0.3333333333333333
262151,266738,6,0.3333333333333333
262151,271411,6,0.3333333333333333
262151,272795,6,0.3333333333333333
266244,265530,7,1.0
266245,265530,7,1.0
264197,264197,7,0.1
264197,263084,7,0.1
264197,264056,7,0.1
264197,263194,7,0.1
264197,263786,7,0.1
264197,266507,7,0.4
264197,263787,7,0.1
266676,269764,8,0.06153846153846154
266676,272646,8,0.015384615384615385
266676,273158,8,0.015384615384615385
266676,269761,8,0.015384615384615385
266676,273218,8,0.015384615384615385
266676,273154,8,0.015384615384615385
266676,269000,8,0.03076923076923077
266676,271242,8,0.015384615384615385
266676,271572,8,0.015384615384615385
266252,267493,9,1.0
266254,270550,9,0.14285714285714285
266254,266942,9,0.14285714285714285
266254,272078,9,0.14285714285714285
266254,269998,9,0.14285714285714285
266254,271422,9,0.14285714285714285
266254,273583,9,0.14285714285714285
266254,271145,9,0.14285714285714285
266248,272503,9,0.16666666666666666
266244,268164,10,1.0
266246,270721,10,1.0
266247,273979,10,1.0
266240,266806,10,1.0
266242,271938,10,1.0
266253,272515,10,1.0
266254,273814,10,1.0
266255,273439,10,1.0
266248,269566,10,1.0
